"id";"nhogar";"miembro";"zona";"edad";"sexo";"parentes_2";"p5_2";"p6_a";"p6_b";"estado";"categori";"t13";"t14";"t15";"t18";"t19";"t28";"t29";"t29a";"t30";"sem_hs";"t33";"t34";"t35";"t37_cod_2";"t37_coda_2";"t38";"t39";"t40";"t41_cod_2";"t47";"t48";"t49";"t50a";"t50b";"t50c";"t50d";"t50e";"t50f";"t51_bis";"i1";"i4";"i6_3";"i10";"i11";"codioph";"ioph_2";"codioph_neto";"ioph_neto_2";"codios";"ios_2";"codioa";"ioa_2";"codlab";"inglab_2";"codi3_1x";"i3_1x_2";"codi3_2x";"i3_2x_2";"codi3_8x";"i3_8x_2";"codi3_est";"i3_est_2";"codi3_otr";"i3_otr_2";"codnolab";"ingnolab_2";"coding";"ingtot_2";"codi_tot";"itfb_2";"ipcfb_2";"e2";"e4";"e6";"e8";"e12";"e13";"e14";"edad_30";"nivel";"aesc";"m1";"m1_2";"m2_anio";"m3_anio";"tipcob2_2";"sn1_1";"sn1_7";"sn1_2";"sn1_3";"sn1_4";"sn1_5";"s8";"sn14";"sn16";"s28";"s29";"dh1";"dh2";"dh3";"t31_bis1";"t31_bis2";"t40bis_a";"t40bis_a1";"t40bis_a2";"t40bis_b";"t40bis_c";"t40bis_d";"t40bis_e1";"t40bis_e2";"t40bis_e3";"t40bis_f";"t40bis_g1";"t40bis_g2";"t40bis_g3";"t40bis_g4";"t40bis_g5";"t40bis_g6";"t40bis_h";"t40bis_a3_1";"t40bis_a3_2";"t40bis_a3_3";"t40bis_a3_5";"t40bis_a3_4";"ts1";"ts2";"ts3";"ts4_1";"ts4_2";"ts4_3";"ts4_4";"ts5_1";"ts5_2";"ts5_3";"ts5_4";"ts5_5";"i7_bis";"i8";"i9";"t12_bis";"t18_1";"t19_1";"t19_bis_1";"t20_1";"t21_1";"t22_1";"t48a_d";"t48b_d";"t50d_a";"t50d_b";"t50d_c";"t50d_d";"t50d_e";"t50d_f";"t51_d";"t23_1_cod";"t24_1_cod";"codi3_3x";"i3_3x_2";"codi3_4x";"i3_4x_2";"codi3_5x";"i3_5x_2";"codi3_6x";"i3_6x_2";"codi3_7x";"i3_7x_2";"codi3_81x";"i3_81x_2";"codi3_82x";"i3_82x_2";"codi3_11x";"i3_11x_2";"codi3_32x";"i3_32x_2";"codi3_33x";"i3_33x_2";"codi3_31x";"i3_31x_2";"codi3_12x";"i3_12x_2";"codi3_13x";"i3_13x_2";"codi3_10x";"i3_10x_2";"dominio";"fexp";"t48a";"t48b";"v2_2";"v4";"v12";"h1";"h2";"h3";"hacinam_2";"tipoho";"i_estratos";"i_canastas";"ca_canastas";"ct_canastas";"ca_pobreza";"ct_pobreza";"anio"
"1";"1";"1";"1";"19";"2";"1";"6";"95";"95";"3";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"2";"0";"9";"8500";"2";"0";"9";"8500";"9";"8500";"9";"31300";"15650";"1";"3";"13";"2";"0";"0";"0";"19";"6";"13";"3";"3";"0";"2019";"4";"2";"2";"2";"1";"2";"2";"2";"0";"1";"2";"0";"2";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"9";"8500";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"4";"961";"0";"0";"2";"3";"1";"1";"1";"3";"1";"7";"3";"4";"16934.4";"35555.8";"15950.72";"28497.4";"2020"
"1";"1";"2";"1";"22";"1";"7";"6";"95";"95";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"25";"2";"0";"2";"9301";"8";"3";"2";"4";"51312";"0";"0";"2";"1";"1";"1";"1";"1";"2";"1";"1";"0";"2";"0";"0";"9";"22800";"9";"22800";"0";"0";"2";"0";"9";"22800";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"9";"22800";"9";"31300";"15650";"2";"0";"0";"0";"7";"1";"0";"21";"5";"12";"3";"3";"0";"2016";"2";"1";"2";"2";"2";"2";"2";"2";"0";"1";"0";"0";"1";"1";"4";"2";"0";"1";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"4";"961";"0";"0";"2";"3";"1";"1";"1";"3";"1";"7";"3";"4";"16934.4";"35555.8";"15950.72";"28497.4";"2020"
"2";"1";"1";"3";"19";"2";"1";"1";"95";"95";"2";"0";"0";"0";"3";"1";"2020";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"1";"3000";"1500";"2";"0";"0";"0";"7";"2";"2";"18";"4";"9";"6";"6";"0";"2002";"2";"1";"2";"2";"2";"2";"2";"2";"0";"2";"2";"0";"2";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"2";"2";"2";"2";"2";"2";"3";"5601";"53314";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"4";"1134";"0";"0";"1";"3";"1";"1";"3";"1";"2";"3";"1";"1";"16934.4";"43770.78";"15950.72";"32050.94";"2020"
"2";"1";"2";"3";"24";"1";"2";"1";"95";"95";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"18";"1";"2";"2";"4904";"4";"2";"2";"2";"34314";"0";"0";"2";"2";"2";"2";"2";"2";"2";"3";"1";"0";"2";"0";"0";"1";"3000";"1";"3000";"0";"0";"2";"0";"1";"3000";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"1";"3000";"1";"3000";"1500";"2";"0";"0";"0";"3";"1";"0";"24";"3";"7";"1";"1";"0";"1";"1";"2";"2";"2";"2";"2";"2";"2";"0";"3";"0";"0";"1";"1";"4";"2";"0";"8";"0";"3";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"2";"2";"2";"0";"0";"0";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"4";"1134";"0";"0";"1";"3";"1";"1";"3";"1";"2";"3";"1";"1";"16934.4";"43770.78";"15950.72";"32050.94";"2020"
"2";"2";"1";"3";"46";"1";"1";"1";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"56";"2";"0";"2";"4903";"4";"2";"2";"3";"34323";"0";"0";"2";"2";"2";"2";"2";"2";"2";"3";"1";"0";"2";"0";"0";"1";"25000";"1";"25000";"0";"0";"2";"0";"1";"25000";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"1";"25000";"1";"46000";"9200";"2";"0";"0";"0";"3";"1";"0";"999";"3";"7";"1";"1";"0";"1";"1";"2";"2";"2";"2";"2";"2";"2";"0";"3";"0";"0";"1";"1";"4";"2";"0";"2";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"4";"1134";"0";"0";"1";"3";"1";"1";"2";"2";"2";"5";"2";"2";"37438.76";"92232.93";"35264.02";"70143.16";"2020"
"2";"2";"2";"3";"46";"2";"2";"1";"0";"0";"2";"0";"0";"0";"3";"1";"2020";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"1";"11000";"2";"0";"1";"11000";"1";"11000";"1";"46000";"9200";"2";"0";"0";"0";"7";"2";"3";"45";"4";"10";"3";"3";"0";"1993";"1";"2";"2";"2";"2";"2";"2";"1";"3";"3";"1";"3";"2";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"1";"1";"1";"1";"2";"1";"8101";"56314";"2";"0";"1";"6000";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"1";"5000";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"4";"1134";"0";"0";"1";"3";"1";"1";"2";"2";"2";"5";"2";"2";"37438.76";"92232.93";"35264.02";"70143.16";"2020"
"2";"2";"3";"3";"18";"2";"3";"1";"1";"2";"3";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"1";"46000";"9200";"1";"1";"10";"2";"0";"0";"0";"18";"4";"8";"1";"1";"0";"1";"1";"2";"2";"2";"2";"2";"2";"2";"0";"3";"1";"1";"2";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"4";"1134";"0";"0";"1";"3";"1";"1";"2";"2";"2";"5";"2";"2";"37438.76";"92232.93";"35264.02";"70143.16";"2020"
"2";"2";"4";"3";"24";"1";"4";"1";"95";"95";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"40";"2";"0";"2";"4000";"2";"2";"5";"2";"72314";"0";"0";"2";"2";"2";"2";"2";"2";"2";"3";"1";"0";"2";"0";"0";"1";"10000";"1";"10000";"0";"0";"2";"0";"1";"10000";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"1";"10000";"1";"46000";"9200";"2";"0";"0";"0";"7";"1";"0";"23";"5";"12";"1";"1";"0";"1";"1";"2";"2";"2";"2";"2";"2";"2";"0";"2";"0";"0";"1";"1";"4";"2";"0";"6";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"4";"1134";"0";"0";"1";"3";"1";"1";"2";"2";"2";"5";"2";"2";"37438.76";"92232.93";"35264.02";"70143.16";"2020"
"2";"2";"5";"3";"3";"1";"5";"0";"4";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"46000";"9200";"1";"1";"16";"0";"0";"0";"0";"2";"1";"0";"1";"1";"0";"1";"1";"2";"2";"2";"2";"2";"2";"2";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1134";"0";"0";"1";"3";"1";"1";"2";"2";"2";"5";"2";"2";"37438.76";"92232.93";"35264.02";"70143.16";"2020"
"3";"1";"1";"3";"20";"2";"1";"6";"95";"95";"3";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"1";"15000";"2";"0";"1";"50000";"1";"65000";"1";"65000";"1";"145000";"72500";"1";"1";"13";"2";"0";"0";"0";"20";"6";"13";"3";"3";"0";"2018";"2";"1";"2";"2";"2";"2";"2";"2";"0";"2";"2";"0";"2";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"1";"50000";"2";"0";"2";"0";"1";"15000";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"4";"604";"0";"0";"2";"3";"1";"1";"2";"3";"1";"7";"5";"5";"16934.4";"46850.2";"15950.72";"33303.9";"2020"
"3";"1";"2";"3";"28";"1";"7";"6";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"24";"1";"1";"2";"8501";"7";"2";"2";"3";"46333";"0";"0";"2";"2";"2";"2";"2";"2";"2";"3";"1";"0";"2";"0";"0";"1";"30000";"1";"30000";"2";"0";"2";"0";"1";"30000";"2";"0";"2";"0";"2";"0";"2";"0";"1";"50000";"1";"50000";"1";"80000";"1";"145000";"72500";"1";"1";"13";"5";"0";"0";"0";"28";"6";"16";"2";"2";"0";"2011";"4";"2";"2";"2";"1";"2";"2";"2";"0";"2";"0";"0";"1";"1";"6";"1";"2";"1";"0";"0";"0";"1";"1";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"1";"2";"1";"1";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"1";"50000";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"4";"604";"0";"0";"2";"3";"1";"1";"2";"3";"1";"7";"5";"5";"16934.4";"46850.2";"15950.72";"33303.9";"2020"
"4";"1";"1";"1";"20";"2";"1";"6";"95";"95";"3";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"1";"10000";"2";"0";"2";"0";"1";"10000";"1";"10000";"1";"10000";"10000";"1";"1";"13";"3";"0";"0";"0";"20";"6";"14";"2";"2";"0";"2018";"4";"2";"2";"2";"1";"2";"2";"2";"0";"2";"2";"0";"2";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"1";"10000";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"4";"706";"0";"0";"2";"2";"1";"1";"2";"2";"1";"1";"2";"2";"7506.06";"30410.08";"7070.05";"20543.74";"2020"
"5";"1";"1";"1";"20";"1";"1";"6";"95";"95";"3";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"1";"6000";"2";"0";"2";"0";"1";"6000";"1";"6000";"9";"16000";"8000";"1";"1";"13";"11";"0";"0";"0";"20";"6";"12";"2";"2";"0";"2018";"2";"1";"2";"2";"2";"2";"2";"2";"0";"2";"0";"0";"1";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"1";"6000";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"4";"706";"0";"0";"2";"1";"1";"1";"2";"1";"2";"2";"1";"1";"18856.68";"49312.46";"17761.34";"34961.78";"2020"
"5";"1";"2";"1";"20";"1";"8";"6";"95";"95";"3";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"9";"10000";"2";"0";"2";"0";"9";"10000";"9";"10000";"9";"16000";"8000";"1";"1";"13";"2";"0";"0";"0";"20";"6";"13";"2";"2";"0";"2019";"4";"2";"2";"2";"1";"2";"2";"2";"0";"3";"0";"0";"1";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"9";"10000";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"4";"706";"0";"0";"2";"1";"1";"1";"2";"1";"2";"2";"1";"1";"18856.68";"49312.46";"17761.34";"34961.78";"2020"
"6";"1";"1";"1";"20";"1";"1";"6";"95";"95";"2";"0";"0";"0";"3";"1";"2020";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"2";"0";"1";"10000";"2";"0";"2";"0";"1";"10000";"1";"10000";"1";"10000";"10000";"1";"1";"13";"1";"0";"0";"0";"19";"6";"12";"2";"2";"0";"2019";"2";"1";"2";"2";"2";"2";"2";"2";"0";"1";"0";"0";"1";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"1";"1";"1";"1";"2";"1";"5601";"53314";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"1";"10000";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"4";"1499";"0";"0";"2";"1";"1";"1";"2";"1";"1";"1";"2";"2";"9428.34";"33313.12";"8880.67";"22789.14";"2020"
"7";"1";"1";"2";"20";"2";"1";"2";"95";"95";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"72";"2";"0";"2";"8700";"7";"2";"2";"4";"57314";"0";"0";"2";"2";"2";"2";"2";"2";"2";"2";"1";"0";"2";"0";"0";"1";"32000";"1";"32000";"0";"0";"2";"0";"1";"32000";"2";"0";"2";"0";"1";"40000";"2";"0";"2";"0";"1";"40000";"1";"72000";"9";"77000";"38500";"1";"1";"13";"2";"0";"0";"0";"20";"6";"13";"5";"5";"2018";"2018";"5";"1";"2";"2";"1";"2";"2";"2";"0";"2";"2";"0";"2";"2";"1";"2";"0";"3";"3";"0";"1";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"1";"40000";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"4";"423";"0";"0";"2";"3";"1";"1";"2";"3";"1";"3";"5";"5";"15012.12";"44387.94";"14140.1";"31646.03";"2020"
"7";"1";"2";"2";"27";"2";"2";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"24";"2";"0";"2";"8700";"7";"2";"1";"1";"40112";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"9";"5000";"9";"5000";"0";"0";"2";"0";"9";"5000";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"9";"5000";"9";"77000";"38500";"1";"1";"13";"3";"0";"0";"0";"26";"6";"14";"5";"5";"2018";"2018";"5";"1";"2";"2";"1";"2";"2";"2";"0";"2";"2";"0";"2";"2";"3";"2";"0";"5";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"2";"1";"2";"0";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"4";"423";"5";"1";"2";"3";"1";"1";"2";"3";"1";"3";"5";"5";"15012.12";"44387.94";"14140.1";"31646.03";"2020"
"8";"1";"1";"1";"20";"1";"1";"1";"95";"95";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"30";"2";"0";"2";"6900";"5";"2";"2";"4";"10331";"0";"0";"2";"1";"1";"1";"1";"1";"2";"1";"1";"0";"2";"0";"0";"1";"38000";"1";"38000";"0";"0";"2";"0";"1";"38000";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"1";"38000";"9";"283000";"94333";"1";"1";"13";"2";"0";"0";"0";"20";"6";"13";"1";"1";"0";"1";"2";"1";"2";"2";"2";"2";"2";"2";"0";"3";"0";"0";"1";"1";"4";"2";"0";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"4";"552";"0";"0";"2";"3";"1";"1";"2";"3";"1";"5";"6";"5";"26362.74";"67521.52";"24831.39";"50492.85";"2020"
"8";"1";"2";"1";"26";"2";"2";"1";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"40";"2";"0";"1";"9501";"8";"2";"2";"3";"10333";"0";"0";"2";"1";"1";"1";"1";"1";"2";"1";"1";"0";"2";"0";"0";"9";"45000";"9";"45000";"0";"0";"2";"0";"9";"45000";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"9";"45000";"9";"283000";"94333";"2";"0";"0";"0";"13";"1";"0";"25";"7";"17";"1";"1";"0";"1";"2";"1";"2";"2";"2";"2";"2";"2";"0";"3";"2";"0";"2";"2";"4";"2";"0";"4";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"1";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"2";"0";"4";"552";"0";"0";"2";"3";"1";"1";"2";"3";"1";"5";"6";"5";"26362.74";"67521.52";"24831.39";"50492.85";"2020"
